FECHA,JORNADA,LIGA,EQUIPO RIVAL,ARBITRO,EQUIPO,POSICION,JUGADOR,CONCEPTO,VALOR,CONCEPTO REAL,VALOR REAL,VALOR NUMERICO,DISTANCIA,FORMA,ZONA,PIE,MITAD,TECNICO
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Aron Sigurdarson,DEFINICION-CABEZAZO,MALO,DEFINICION-CABEZAZO,MALO,1,,,OZAG1,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Aron Sigurdarson,FALTA,NUMERICO,FALTA,NUMERICO,1,,,ZD1,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,FALTA,NUMERICO,FALTA,NUMERICO,1,,,ZO3,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Aron Sigurdarson,JUEGO AEREO-A LA CARRERA,MALO,JUEGO AEREO-A LA CARRERA,MALO,1,,,ZO4,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Aron Sigurdarson,JUEGO AEREO-PERFILADO,MALO,JUEGO AEREO-PERFILADO,MALO,1,,,ZO1,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,JUEGO AEREO-PERFILADO,MALO,JUEGO AEREO-PERFILADO,MALO,1,,,ZO4,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,OFFSIDE,NUMERICO,OFFSIDE,NUMERICO,2,,,,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Aron Sigurdarson,PASE-PL-OBLICUO,BUENO,PASE-PL-OBLICUO,BUENO,2,CORTA,CI,ZO1,H,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,PASE-PL-OBLICUO,BUENO,PASE-PL-OBLICUO,BUENO,1,CORTA,CI,ZO1,H,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,PASE-PL-OBLICUO,BUENO,PASE-PL-OBLICUO,BUENO,1,CORTA,CI,ZO2,H,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,PASE-PL-OBLICUO,BUENO,PASE-PL-OBLICUO,BUENO,1,CORTA,CI,ZO3,H,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Aron Sigurdarson,PASE-PL-OBLICUO,BUENO,PASE-PL-OBLICUO,BUENO,1,CORTA,CI,ZO4,H,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,PASE-PL-OBLICUO,MALO,PASE-PL-OBLICUO,MALO,1,CORTA,CI,ZO3,H,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,PASE-PL-OBLICUO,BUENO,PASE-PL-OBLICUO,BUENO,1,LARGO,CI,ZO3,H,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,PASE-DRIBBLE,MALO,PASE-DRIBBLE,MALO,1,,,OZAG2,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Aron Sigurdarson,PASE-DRIBBLE,BUENO,PASE-DRIBBLE,BUENO,1,,,ZO2,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Aron Sigurdarson,PASE-PL-OBLICUO,BUENO,PASE-PL-OBLICUO,BUENO,1,CORTA,EMPEINE,ZO1,H,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,PELOTA-PERDIDA,NUMERICO,PELOTA-PERDIDA,NUMERICO,1,,,OZAG1,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,PELOTA-PERDIDA,NUMERICO,PELOTA-PERDIDA,NUMERICO,1,,,ZO3,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,PELOTA-PERDIDA,NUMERICO,PELOTA-PERDIDA,NUMERICO,2,,,ZO4,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Aron Sigurdarson,PELOTA-PERDIDA,NUMERICO,PELOTA-PERDIDA,NUMERICO,1,,,ZO4,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Aron Sigurdarson,PIVOTEO-OFENSIVO,BUENO,PIVOTEO-OFENSIVO,BUENO,3,,,,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Aron Sigurdarson,PIVOTEO-OFENSIVO,MALO,PIVOTEO-OFENSIVO,MALO,1,,,,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,PIVOTEO-OFENSIVO,BUENO,PIVOTEO-OFENSIVO,BUENO,1,,,,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,PIVOTEO-OFENSIVO,MALO,PIVOTEO-OFENSIVO,MALO,3,,,,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,PIVOTEO-DEFENSIVO-CONTRA,MALO,PIVOTEO-DEFENSIVO-CONTRA,MALO,1,,,ZD1,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Aron Sigurdarson,PIVOTEO-DEFENSIVO-CONTRA,BUENO,PIVOTEO-DEFENSIVO-CONTRA,BUENO,1,,,ZD2,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,PIVOTEO-OFENSIVO,MALO,PIVOTEO-OFENSIVO,MALO,2,,,OZAG2,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,PIVOTEO-OFENSIVO,BUENO,PIVOTEO-OFENSIVO,BUENO,1,,,ZO1,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Aron Sigurdarson,PIVOTEO-OFENSIVO,BUENO,PIVOTEO-OFENSIVO,BUENO,2,,,ZO2,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Aron Sigurdarson,PIVOTEO-OFENSIVO,MALO,PIVOTEO-OFENSIVO,MALO,1,,,ZO3,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,QUITE-AL PASE,BUENO,QUITE-AL PASE,BUENO,1,,,ZO4,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,RECEPCION CON GIRO PERFILADO,BUENO,RECEPCION CON GIRO PERFILADO,BUENO,1,,,OZAG1,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Aron Sigurdarson,RECEPCION CON GIRO PERFILADO,BUENO,RECEPCION CON GIRO PERFILADO,BUENO,3,,,ZD1,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,RECEPCION CON GIRO PERFILADO,BUENO,RECEPCION CON GIRO PERFILADO,BUENO,1,,,ZO1,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,RECEPCION CON GIRO PERFILADO,BUENO,RECEPCION CON GIRO PERFILADO,BUENO,2,,,ZO3,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Aron Sigurdarson,RECEPCION CON GIRO PERFILADO,BUENO,RECEPCION CON GIRO PERFILADO,BUENO,1,,,ZO3,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,RECEPCION CON GIRO PERFILADO,MALO,RECEPCION CON GIRO PERFILADO,MALO,1,,,ZO3,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Aron Sigurdarson,RECEPCION CON GIRO PERFILADO,BUENO,RECEPCION CON GIRO PERFILADO,BUENO,2,,,ZO4,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Aron Sigurdarson,RECEPCION COSTADO DEL RIVAL,BUENO,RECEPCION COSTADO DEL RIVAL,BUENO,2,,,OZAG1,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,RECEPCION COSTADO DEL RIVAL,BUENO,RECEPCION COSTADO DEL RIVAL,BUENO,1,,,ZO1,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Alfred Finnbogason,RECEPCION COSTADO DEL RIVAL,MALO,RECEPCION COSTADO DEL RIVAL,MALO,1,,,ZO1,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Delantero,Aron Sigurdarson,RECEPCION COSTADO DEL RIVAL,BUENO,RECEPCION COSTADO DEL RIVAL,BUENO,1,,,ZO4,,Primera,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Defensor,Hordur Magnusson,FALTA,NUMERICO,FALTA,NUMERICO,1,,,ZD4,,Segunda,H.Hallgrimmson
2-9-2017,Fecha 9,Eliminatorias,Finlandia,P.Kralovec,Islandia ,Defensor,Hordur Magnusson,INTERCEPCION-JUEGO AEREO,BUENO,INTERCEPCION-JUEGO AEREO,BUENO,1,,,ZO1,,Segunda,H.Hallgrimmson
